DateTime,Entries,UniqueIPs
1583015284,982,982
1583018172,2597,2597
1583020092,3446,3446
1583022028,3934,3934
1583023980,4621,4621
1583025873,5464,5464
1583027786,6565,6565
1583029701,7619,7619
1583032587,8952,8952
1583034495,9641,9641
1583036422,10550,10550
1583038328,11724,11724
1583040248,12134,12134
1583042191,12140,12140
1583044090,12141,12141
1583046976,12135,12135
1583049140,12129,12129
1583051055,12125,12125
1583052984,12126,12126
1583054893,12126,12126
1583056828,12128,12128
1583058750,12130,12130
1583060917,12135,12135
1583062817,12139,12139
1583065000,12158,12158
1583066911,12191,12191
1583068831,12207,12207
1583070745,12217,12217
1583072693,12239,12239
1583074569,12297,12297
1583076490,12297,12297
1583078456,12297,12297
1583080334,12301,12301
1583082499,12306,12306
1583084438,12303,12303
1583086349,12303,12303
1583090175,12302,12302
1583092108,12305,12305
1583094011,12304,12304
1583095935,12305,12305
1583097871,12304,12304
1583099782,12306,12306
1583101708,11799,11799
1583103646,10665,10665
1583105549,9714,9714
1583107725,9110,9110
1583109649,8775,8775
1583111541,8094,8094
1583113468,7084,7084
1583115394,6199,6199
1583117309,5202,5202
1583119237,4727,4727
1583121141,4259,4259
1583123070,3671,3671
1583126193,2331,2331
1583128105,2492,2492
1583130007,2614,2614
1583131925,2764,2764
1583133862,2939,2939
1583135765,3114,3114
1583137686,3395,3395
1583140576,3611,3611
1583142495,3745,3745
1583144424,3909,3909
1583146329,4138,4138
1583148256,4402,4402
1583150182,4592,4592
1583152095,4739,4739
1583154036,4926,4926
1583155954,5011,5011
1583158121,5232,5232
1583160014,5375,5375
1583161936,5492,5492
1583163875,5727,5727
1583165777,5952,5952
1583167715,6150,6150
1583169610,6155,6155
1583171531,6155,6155
1583173481,6159,6159
1583175371,6158,6158
1583177293,6159,6159
1583180174,6158,6158
1583182091,6160,6160
1583184011,6163,6163
1583185956,6163,6163
1583187850,6158,6158
1583189771,6138,6138
1583191688,6104,6104
1583193635,6054,6054
1583195533,5903,5903
1583197815,5747,5747
1583199853,5704,5704
1583201770,5549,5549
1583203689,5346,5346
1583205614,5164,5164
1583207556,4902,4902
1583209453,4613,4613
1583211387,4584,4584
1583213288,4426,4426
1583215230,4301,4301
1583217129,4182,4182
1583219094,3988,3988
1583220972,3874,3874
1583222900,3630,3630
1583224814,3396,3396
1583226984,3229,3229
1583228894,3099,3099
1583230809,2931,2931
1583232727,2692,2692
1583234649,2434,2434
1583236570,2249,2249
1583238487,2101,2101
1583241373,1855,1855
1583243296,1699,1699
1583245213,1550,1550
1583247129,1429,1429
1583249092,1241,1241
1583250975,1007,1007
1583252890,806,806
1583255770,663,663
1583257692,660,660
1583259605,656,656
1583261528,660,660
1583263452,677,677
1583265370,715,715
1583267285,760,760
1583270175,768,768
1583272094,769,769
1583274008,769,769
1583275928,766,766
1583277857,769,769
1583279769,769,769
1583281690,769,769
1583283636,771,771
1583285534,771,771
1583287473,775,775
1583289404,778,778
1583291303,778,778
1583293225,767,767
1583295384,791,791
1583297292,797,797
1583299210,803,803
1583301128,781,781
1583303068,784,784
1583304987,781,781
1583306899,781,781
1583309771,787,787
1583311708,790,790
1583313609,797,797
1583315538,796,796
1583317461,800,800
1583319370,803,803
1583321286,803,803
1583324209,777,777
1583326095,783,783
1583328019,783,783
1583329929,783,783
1583331871,783,783
1583333770,780,780
1583335689,782,782
1583338573,782,782
1583340490,782,782
1583342407,778,778
1583344325,777,777
1583346253,775,775
1583348170,772,772
1583350087,769,769
1583353007,765,765
1583354891,763,763
1583356811,749,749
1583358729,750,750
1583360652,748,748
1583362573,750,750
1583364487,745,745
1583366452,740,740
1583368332,760,760
1583370270,754,754
1583372245,770,770
1583374090,772,772
1583376010,769,769
1583377938,775,775
1583379851,779,779
1583381772,754,754
1583383695,770,770
1583385612,764,764
1583387527,762,762
1583389453,757,757
1583391367,749,749
1583393286,748,748
1583396171,742,742
1583398093,737,737
1583400007,729,729
1583401929,729,729
1583403853,724,724
1583405778,724,724
1583407691,719,719
1583409636,714,714
1583411528,712,712
1583413699,710,710
1583415610,710,710
1583417533,707,707
1583419447,700,700
1583421377,695,695
1583423302,694,694
1583425210,699,699
1583427127,699,699
1583429053,698,698
1583430970,695,695
1583432889,693,693
1583434843,696,696
1583436734,696,696
1583438669,695,695
1583440578,697,697
1583442504,678,678
1583444415,603,603
1583446333,586,586
1583448248,588,588
1583450171,590,590
1583452096,574,574
1583454008,545,545
1583455950,533,533
1583457852,541,541
1583459767,543,543
1583461685,545,545
1583464572,546,546
1583466495,543,543
1583468411,538,538
1583470328,514,514
1583472252,513,513
1583474169,511,511
1583476102,515,515
1583478975,517,517
1583480890,519,519
1583482807,517,517
1583484726,520,520
1583486679,516,516
1583488565,516,516
1583490488,512,512
1583493615,518,518
1583495527,523,523
1583497450,524,524
1583499367,516,516
1583501294,516,516
1583504182,525,525
1583506123,530,530
1583508030,529,529
1583509928,526,526
1583511852,519,519
1583513769,519,519
1583515686,520,520
1583518574,530,530
1583520493,529,529
1583522406,526,526
1583524329,525,525
1583526251,533,533
1583528168,531,531
1583530335,536,536
1583532256,531,531
1583534171,533,533
1583536107,532,532
1583538011,534,534
1583539939,581,581
1583541852,585,585
1583543772,551,551
1583545697,550,550
1583547610,568,568
1583549527,571,571
1583551451,573,573
1583553372,579,579
1583555286,579,579
1583558175,587,587
1583560095,585,585
1583562014,583,583
1583563926,586,586
1583565870,587,587
1583567769,593,593
1583569713,597,597
1583571647,598,598
1583573542,596,596
1583575454,596,596
1583577380,596,596
1583579304,598,598
1583581236,599,599
1583583135,599,599
1583585049,600,600
1583586975,602,602
1583588919,604,604
1583590807,589,589
1583592751,591,591
1583594679,589,589
1583596569,590,590
1583598490,593,593
1583600455,598,598
1583602356,598,598
1583604266,604,604
1583606169,610,610
1583608115,776,776
1583610019,1017,1017
1583611936,1077,1077
1583613879,1088,1088
1583615799,1118,1118
1583617695,1119,1119
1583619614,1132,1132
1583621557,1133,1133
1583623456,1138,1138
1583625370,1148,1148
1583627315,1239,1239
1583629238,1239,1239
1583631156,1244,1244
1583633323,1213,1213
1583635213,1232,1232
1583637137,1232,1232
1583639074,1263,1263
1583640984,1279,1279
1583642897,1416,1416
1583644834,1566,1566
1583646731,1583,1583
1583648660,1587,1587
1583650592,1635,1635
1583652495,1654,1654
1583655397,1657,1657
1583657333,1660,1660
1583659208,1663,1663
1583661149,1664,1664
1583663075,1665,1665
1583664993,1663,1663
1583666887,1662,1662
1583668830,1657,1657
1583670752,1655,1655
1583672662,1658,1658
1583674571,1656,1656
1583676523,1672,1672
1583678436,1672,1672
1583680359,1664,1664
1583682248,1660,1660
1583684174,1657,1657
1583686117,1651,1651
1583688032,1646,1646
1583689930,1668,1668
1583691849,1675,1675
1583693788,1585,1585
1583695689,1353,1353
1583698577,1292,1292
1583700498,1277,1277
1583702410,1243,1243
1583704351,1230,1230
1583706255,1228,1228
1583708191,1223,1223
1583710088,1218,1218
1583712973,1377,1377
1583714896,1489,1489
1583716830,1833,1833
1583718753,2178,2178
1583720652,2429,2429
1583722589,2545,2545
1583724511,2668,2668
1583726459,2767,2767
1583728355,2884,2884
1583730522,2887,2887
1583732414,2969,2969
1583734345,3222,3222
1583736274,3377,3377
1583738171,3487,3487
1583740092,3652,3652
1583742032,3797,3797
1583743929,4096,4096
1583745850,4341,4341
1583747791,4505,4505
1583749688,4682,4682
1583752593,4857,4857
1583754490,5139,5139
1583756432,5299,5299
1583758327,5518,5518
1583760331,5769,5769
1583762169,5911,5911
1583764110,5972,5972
1583766974,5972,5972
1583768894,5974,5974
1583770858,5972,5972
1583772752,5975,5975
1583774658,5975,5975
1583776593,5963,5963
1583778488,5960,5960
1583780435,5961,5961
1583782334,5962,5962
1583784526,5967,5967
1583786411,5970,5970
1583788603,5953,5953
1583790492,5942,5942
1583792412,5915,5915
1583794351,5908,5908
1583796250,5908,5908
1583798169,5894,5894
1583800092,5625,5625
1583802970,5272,5272
1583804889,4908,4908
1583806814,4596,4596
1583808730,4474,4474
1583810649,4343,4343
1583812592,4232,4232
1583814487,4085,4085
1583816449,3907,3907
1583818333,3752,3752
1583820526,3461,3461
1583822420,3296,3296
1583824338,3186,3186
1583826289,3026,3026
1583828200,2925,2925
1583830103,2631,2631
1583832010,2392,2392
1583833959,2213,2213
1583835857,2027,2027
1583837775,1983,1983
1583839717,1936,1936
1583842581,1762,1762
1583844494,1575,1575
1583846407,1467,1467
1583848326,1426,1426
1583850299,1489,1489
1583852172,1673,1673
1583854117,1789,1789
1583856976,1920,1920
1583858901,2024,2024
1583860824,2146,2146
1583862733,2323,2323
1583864656,2480,2480
1583866573,2592,2592
1583868505,2687,2687
1583871398,2818,2818
1583873290,2935,2935
1583875214,2989,2989
1583877127,3031,3031
1583879051,3080,3080
1583880970,3116,3116
1583882888,3161,3161
1583884846,3224,3224
1583886736,3312,3312
1583888704,3353,3353
1583890570,3437,3437
1583892500,3565,3565
1583894431,3677,3677
1583896331,3726,3726
1583898259,3825,3825
1583900198,3893,3893
1583902089,4003,4003
1583904011,4073,4073
1583905935,4127,4127
1583907853,4205,4205
1583909771,4325,4325
1583911690,4402,4402
1583914576,4469,4469
1583916524,4568,4568
1583918416,4625,4625
1583920328,4763,4763
1583922254,4873,4873
1583924170,4820,4820
1583926098,4822,4822
1583928982,4758,4758
1583930896,4757,4757
1583932811,4724,4724
1583934784,4624,4624
1583936654,4531,4531
1583938575,4407,4407
1583940523,4317,4317
1583942450,4242,4242
1583944355,4201,4201
1583946281,4163,4163
1583948185,4166,4166
1583950095,4069,4069
1583952024,3980,3980
1583953947,3994,3994
1583955854,4028,4028
1583957803,4075,4075
1583959717,4030,4030
1583961624,4051,4051
1583963539,4126,4126
1583965451,4168,4168
1583967388,4224,4224
1583969287,4257,4257
1583971269,4211,4211
1583973131,4106,4106
1583975298,4065,4065
1583977212,3960,3960
1583979134,3808,3808
1583981057,3695,3695
1583982972,3620,3620
1583984901,3506,3506
1583986822,3452,3452
1583988726,3325,3325
1583990660,3266,3266
1583992569,3203,3203
1583994502,3115,3115
1583997372,2950,2950
1583999301,2866,2866
1584001211,2807,2807
1584003129,2691,2691
1584005074,2611,2611
1584006993,2484,2484
1584009170,2363,2363
1584011298,2273,2273
