DateTime,AddedIPs,RemovedIPs
1583876414,104,14
1583876522,51,81
1583877367,40,0
1583878357,17,11
1583878503,63,49
1583879283,51,3
1583880249,14,10
1583882171,187,142
1583884090,109,82
1583884503,97,24
1583885644,90,53
1583886006,226,0
1583887323,120,90
1583887924,12,10
1583888163,71,0
1583889846,5,9
1583890923,202,148
1583891765,9,11
1583892605,148,57
1583893685,17,5
1583894523,182,119
1583895610,15,16
1583896443,138,53
1583897532,82,13
1583898123,66,83
1583899694,525,9
1583900043,127,43
1583900883,53,5
1583901611,7,17
1583902624,122,92
1583903529,6,2
1583904003,70,40
1583905447,12,3
1583907370,216,187
1583908084,76,0
1583909289,8,6
1583909579,106,140
1583911204,16,10
1583912523,197,125
1583913125,14,18
1583913363,57,2
1583914504,75,58
1583915049,10,16
1583916123,122,98
1583916966,9,15
1583917230,92,56
1583918044,55,2
1583918886,6,11
1583919725,107,96
1583920813,60,15
1583921703,60,49
1583922730,2,7
1583923323,109,88
1583924655,4,471
1583925003,108,52
1583926569,15,5
1583926923,144,98
1583927764,49,2
1583928488,245,0
1583928844,52,49
1583930408,20,19
1583930523,93,76
1583931363,43,1
1583932329,17,14
1583932503,64,52
1583934274,12,8
1583935215,1086,2131
1583936172,92,64
1583937725,76,83
1583938089,5,7
1583939642,92,61
1583940007,7,6
1583941215,67,112
1583941928,4,6
1583942163,33,2
1583943243,51,53
1583943875,8,7
1583944503,51,59
1583945765,13,13
1583945901,66,85
1583946843,36,9
1583946912,508,0
1583947684,5,12
1583948524,68,120
1583949606,9,6
1583950203,63,66
1583951528,13,9
1583953698,149,90
1583953805,67,57
1583955648,9,9
1583955723,88,128
1583957529,11,14
1583957643,71,52
1583958483,45,2
1583959446,6,10
1583961370,146,182
1583962083,26,0
1583963286,9,8
1583963703,313,112
1583965234,10,17
1583966702,139,171
1583967123,6,6
1583968443,289,55
1583969047,8,4
1583970015,62,95
1583970989,9,11
1583972102,88,63
1583972886,219,0
1583973911,603,124
1583974807,8,14
1583975703,116,49
1583976774,71,15
1583978893,8,9
1583979003,152,191
1583980811,4,9
1583982730,68,3
1583982843,168,165
1583984648,5,5
1583985363,158,103
1583986568,10,8
1583987285,103,52
1583988123,46,91
1583988489,7,11
1583990046,121,53
1583990406,10,6
1583990883,54,0
1583991723,60,109
1583992327,13,14
1583993403,111,89
1583994248,10,6
1583994613,0,765
1583996167,74,165
1583996673,121,201
1583998085,15,14
1583998923,143,195
1584000009,57,16
1584000843,55,106
1584001959,5,6
1584002002,73,135
1584004363,115,141
1584005283,85,1
1584006272,10,7
1584006963,94,131
1584008170,8,19
1584009303,142,151
1584010112,6,6
1584011403,139,117
1584012005,11,532
